"feature","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"k__Bacteria;__;__;__;__;__;__",0,3,4,0,2,15,0,0,0,8,0,0,2,5,0,3,0,0,0,11,0,5,8,0,6,0,0,4,0,0,0,12,0,5,0,0,2,0,0,0,0,0,0,8,0,7,0,14,0,7,14,3,23,0,0,3,9,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__",0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,40,0,39,0,0,0,33,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,36,0,53,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar",0,0,0,0,3923,0,162,0,0,0,0,0,0,0,0,44,150,334,35,46,21,36,109,194,182,97,315,32,293,50,0,0,0,80,114,0,162,0,0,0,138,200,207,60,0,0,0,11,36,0,0,26,0,50,149,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__",7,0,0,0,0,0,33,0,0,0,0,0,145,223,0,0,0,23,0,0,0,0,0,170,32,0,0,0,123,14,0,0,0,0,0,0,8,0,0,15,0,48,64,0,0,10,0,16,0,0,350,111,504,0,9,0,354,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__",0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,43,0,40,0,0,0,0,214,0,20,16,0,0,0,0,0,0,0,141,0,0,17,24,19,0,7,0,0,0,0,0,0,31,20
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__",0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,65,0,29,0,0,0,12,129,0,80,0,13,0,0,0,0,0,0,29,0,35,96,0,0,0,0,0,7,0,0,0,97,0,0,0,0,0,0,10,28,0,10,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__",0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,54,0,65,0,0,0,20,105,0,118,0,0,0,0,0,0,0,0,54,0,63,134,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,83,0,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens",0,0,95,0,0,0,0,0,91,202,0,0,37,259,0,92,0,0,478,187,0,0,0,18,0,0,0,198,0,0,0,0,372,148,0,0,191,164,0,23,0,23,0,0,0,0,221,117,83,153,161,149,441,0,0,0,0,0
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,45,11,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,33,9,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__",0,0,0,0,75,94,0,0,142,8,148,370,241,0,165,142,91,0,15,42,219,0,55,22,0,0,0,0,0,0,167,0,171,69,240,50,33,0,141,166,818,154,0,0,151,5,130,41,125,141,116,0,162,0,287,674,151,240
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__",0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,72,107,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,175,0,0,0,0,0,54,75,0,0,0,0,0,0,0,0,0,0,223,60,0,0,0,0,0,0,0,7,0,0,0,0,0,46
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__",0,0,0,0,212,0,0,0,0,0,0,0,28,13,13,0,0,99,0,0,37,156,141,72,0,134,0,0,0,0,0,0,0,70,0,0,0,0,0,0,119,128,368,76,0,0,68,0,0,0,61,0,4,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,82,0,14,0,43,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,17,0,0,63,0,0,11,10,0,73,0,19,0,0,0,0,0,0,0,0,0,0,6,18,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,176,94,0,0,0,0,64,0,14,0,0,0,0,0,0,6,0,10,146,705,240,26,0,0,0,0,98,9,92,42,0,18,0,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,64,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,102,12,0,0,0,13,0,1372,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,120,0,40,0,0,0,53,0,4,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__neonatale",30,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,36,0,0,86,48,0,0,78,274,0,0,45,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__",42,0,0,0,0,0,0,0,0,0,41,0,0,0,67,0,0,0,0,0,0,63,54,97,39,0,0,0,0,0,0,0,38,0,0,50,33,0,0,0,0,0,2,0,0,0,0,20,0,0,98,0,126,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta",0,0,0,0,133,172,0,190,0,525,0,0,0,0,0,0,65,136,0,0,165,93,30,0,2293,0,0,98,0,70,278,56,0,0,83,68,0,0,0,0,0,0,0,0,45,69,54,29,0,0,0,0,0,0,0,42,0,101
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus",0,0,0,0,0,0,0,0,0,0,119,43,32,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,79,81,0,43,30,0,0,0,0,0,0,0,0,31,76,41,0,0,22,0,0,0,0,48
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,23,0,0,41,0,12,0,0,0,0,0,34,0,36,0,57,0,35,0,0,0,32,0,0,0,0,8,21,0,29,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__",0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,120,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,19,0,0,105,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__",18,0,0,0,0,0,0,0,0,0,14,0,0,45,0,70,0,43,0,45,0,61,0,0,0,33,0,22,0,0,0,24,37,0,30,7,46,0,0,0,30,0,0,0,69,0,55,0,47,0,0,0,0,0,64,0,40,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae",9,0,0,0,0,32,0,0,0,0,0,0,0,0,0,26,18,24,0,0,0,25,74,29,36,0,0,44,0,0,20,0,0,18,16,29,57,0,0,0,0,10,23,18,0,0,28,0,0,0,0,0,0,0,62,8,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii",0,0,0,37,0,0,0,20,0,0,0,0,0,121,0,32,0,0,0,0,0,33,29,51,32,0,0,0,0,0,0,0,0,0,104,150,53,0,0,0,0,41,0,0,0,24,0,365,0,16,50,60,33,0,181,96,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,53,0,98,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,49,79,53,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,24,0,94,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__",2676,0,2,0,0,0,0,0,122,6,194,0,0,0,132,31,128,0,0,115,0,67,135,0,0,1849,0,0,70,0,6,86,0,0,118,118,81,0,0,0,0,69,8,0,3,0,141,0,224,0,61,1,0,1,0,0,125,30
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme",0,0,0,0,0,0,0,0,0,0,0,0,0,41,309,66,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,105,0,39,3,0,6,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri",0,106,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,33,35,49,0,53,34,0,30,0,76,0,0,0,0,0,0,78,97
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__",0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,8,35,0,0,47,0,0,12,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",53,2,0,0,53,0,41,0,0,127,23,0,0,0,0,0,41,0,0,0,0,72,98,0,253,0,0,21,197,0,70,0,47,98,0,0,398,0,0,43,0,0,138,0,0,0,0,0,0,0,0,8,0,0,0,5,165,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",0,0,83,0,0,0,0,0,192,0,156,0,36,0,0,74,161,23,120,52,0,0,170,153,0,0,0,0,124,126,147,145,183,0,93,89,88,0,0,0,0,0,0,0,77,0,152,0,76,0,98,107,105,118,178,92,0,173
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,132,0,34,82,0,0,0,0,0,0,0,0,0,0,0,0,101,0,72,32,21,0,0,0,0,0,0,0,0,0,124,0,0,0,28,0,33,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans",0,0,40,0,0,0,0,0,0,0,65,407,94,66,0,101,79,0,195,54,203,0,0,0,0,0,0,80,0,0,0,0,92,119,180,192,125,137,0,0,0,0,0,0,157,82,73,101,160,101,155,0,92,0,115,114,0,79
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__",0,218,0,415,0,0,0,118,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,139,83,0,0,0,160,0,0,0,0,0,65,0,80,0,0,0,0,0,0,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum",0,0,91,0,0,0,0,0,0,0,150,536,0,0,131,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,137,148,0,0,0,94,0,0,0,0,0,0,66,78,0,18,0,0,0,0,43,0,0,78
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__",24,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,94,0,20,0,23,58,0,0,97,0,0,0,0,0,14,0,0,0,27,0,86,0,0,17,0,0,0,117,0,69,0,0,0,108,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,21,74,10,10,0,0,0,0,0,0,0,0,28,0,8,47,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,68,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula",0,0,0,0,103,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,125,73,41,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,95,0,54,0,29,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii",0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,176,0,222,0,0,0,0,149,0,137,0,0,0,0,0,15,0,0,142,14,150,95,0,18,0,0,0,22,0,0,0,0,0,0,0,0,0,0,11,159,0,0,0
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,32,0,32,0,18,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,8,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__mucosae",0,71,0,77,67,245,0,0,0,0,0,0,0,0,0,99,33,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,131,57,0,0,0,0,0,66,0,0,473,322,0,0,0,0,0,0,43,137,0,141,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,127,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,180,0,55,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__",0,0,34,0,2,0,0,40,0,0,0,259,0,120,0,0,0,0,0,0,0,0,0,51,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,41,2,3,0,0,0,79,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae",0,0,0,0,0,0,0,107,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,145,0,0,0,0,53,0,0,0,0,123,176,93,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve",54,0,20,72,0,48,0,19,23,78,0,0,12,14,0,7,12,10,17,20,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,38,23,0,0,0,0,24,0,23,0,41,0,19,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum",0,113,117,103,0,0,0,0,70,79,0,0,0,0,0,0,0,0,40,51,0,0,0,0,0,0,0,50,0,126,0,0,0,92,0,0,0,0,27,0,0,0,0,0,96,111,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum",0,0,0,0,0,0,0,0,0,0,0,0,16,54,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,95,0,0,0,0,98,59,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__",0,0,0,0,0,47,0,0,0,5,0,0,0,0,0,55,0,47,0,0,0,0,129,0,85,0,0,0,0,0,0,0,0,53,0,58,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
